Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector
50001079;AMY SEC TH 99% AGUA (48x24UN);1001;3000;CS;1142,00;261,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal
50001084;CHICCO BS TH ORIGINAL (48x24UN);1000;3000;CS;1294,00;0,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Travel Pack;Cuidado Personal
50001084;CHICCO BS TH ORIGINAL (48x24UN);1001;3000;CS;1216,00;234,000;0,000;20.02.2026 - 22:03:20;TOALLAS HUMEDAS;Chicco;PH-TH Travel Pack;Cuidado Personal
50001086;FRIENDS PANTY MENSTRUAL TALLA S (8X3);1001;3000;CS;40,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Friends;PH-Panty Menstrual;Absorbentes
50001088;FRIENDS PANTY MENSTRUAL TALLA M (8X3);1001;3000;CS;59,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Friends;PH-Panty Menstrual;Absorbentes
50001089;FRIENDS PANTY MENSTRUAL TALLA L (8X3);1001;3000;CS;37,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Friends;PH-Panty Menstrual;Absorbentes
50001095;SECUREZZA PANTS M (8X10);1001;3000;PAK;430,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Securezza;PH-Pañal Pull Up;Absorbentes
50001100;CHICCO BS CHAMPU CABELLONORMAL(10x400ML);1001;3000;CS;1272,00;3,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001101;CHICCO BS CHAMPU CABELLO CLARO(10x400ML);1001;3000;CS;625,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001102;CHICCO BS CHAMPU CABELLOOSCURO(10x400ML);1001;3000;CS;61,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal
50001106;FRIENDS PD REGULAR S/P (12X40UN);1001;3000;PAK;1366,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001107;FRIENDS PD REGULAR S/P (12X60UN);1001;3000;PAK;380,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001108;FRIENDS TS XTREME SEC REGULAR (12x14UN);1001;3000;PAK;543,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes
50001109;FRIENDS TS TELA REGULAR (12x14UN);1001;3000;PAK;967,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes
50001110;FRIENDS PD MANZANILLA (12X40UN);1001;3000;PAK;88,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes
50001111;FRIENDS TS NOCTURNA SIN ALAS (12x10UN);1001;3000;PAK;1405,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Friends;PH-Toalla Sanitaria;Absorbentes
50001113;ACTIVA SEC PERD. ABUNDANTE(6x20UN) PROMO;1001;3000;PAK;234,00;0,000;0,000;20.02.2026 - 22:03:20;INCONTINENCIA;Activa;PH-Toalla Incontinen;Absorbentes
50001116;ACTIVA SEC PD PERD OCAS PROMO (6X80UN);1001;3000;PAK;714,00;0,000;0,000;20.02.2026 - 22:03:20;ABSORBENTES FEMENINA;Activa;PH-Protector Diario;Absorbentes
50001123;FRIENDS JABON INTIMO (12x240ML);1001;3000;CS;236,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Friends;PH-Jabón Líquido;Cuidado Personal
50001124;CHICCO BS JABON LIQUIDO(10x400ML);1001;3000;CS;73,00;0,000;0,000;20.02.2026 - 22:03:20;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;Cuidado Personal
