Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50001009;CHICCO CHAMPU ROMERO 100 ML;1001;3000;CS;228,00;185838,24;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001011;CHICCO COLONIA 100ML;1000;3000;CS;108,00;98703,36;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001011;CHICCO COLONIA 100ML;1001;3000;CS;705,00;644313,60;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Colonia;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001012;CHICCO ACEITE PARA NIÑOS 100ML;1001;3000;CS;124,00;108500,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Aceite;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001015;CHICCO CHAMPU MANZANILLA 100ML;1001;3000;CS;407,00;329686,28;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001016;CHICCO CHAMPU ORIGINAL 100ML;1000;3000;CS;140,00;114032,80;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001016;CHICCO CHAMPU ORIGINAL 100ML;1001;3000;CS;372,00;303001,44;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001019;CHICCO GEL ANTIBACTERIAL 100 ML;1000;3000;CS;0,00;0,00;0,000;0,00;1,357;1029,42;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001019;CHICCO GEL ANTIBACTERIAL 100 ML;1001;3000;CS;482,00;365606,64;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Gel Antibacterial;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001020;CHICCO LOCION 100 ML;1001;3000;CS;503,00;358015,28;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Loción;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001021;SECUREZZA POST PARTO  (12X15);1001;3000;PAK;464,00;173053,44;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Toalla Post-Parto;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001023;CHICCO BS COTONCITO (32x100UN)x2;1001;3000;CS;11,00;5730,56;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001024;CHICCO COTONCITO 60 PZA;1001;3000;CS;281,00;154977,12;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001026;BASTONCITO PARA HISOPOS (NACIONAL PH);1000;3000;CS;0,00;0,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Pharsana;PH-Hisopos;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
