Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11003103;BILAMINADO TH CHICCO 48 UN;1000;1000;KG;170,28;289697,77;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003109;TAPA LISA FLIP TOP BLANCA C- 24-415;1000;1000;ST;176000,00;997440,87;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003109;TAPA LISA FLIP TOP BLANCA C- 24-415;1000;2000;ST;41471,00;235027,67;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
11003110;ETIQ DORSAL CHICCO JABON LIQ 200CC;1000;1000;ST;546,00;1461,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003111;ETIQ FRONT CHICCO ACEITE CREMOSO 200CC;1000;1000;ST;951,00;19230,42;10000,000;202212,66;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003113;ETIQ DORSAL CHICCO ACEITE CREMOSO 200CC;1000;1000;ST;865,00;14043,19;10000,000;162349,04;0,000;0,00;20.02.2026 - 22:03:31;ZMAP;1000-Materia Prima;1000-Pharsana Valencia
11003114;ETIQUETA CHICCO VASELINA 80G;1000;1000;ST;391,00;371,71;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003116;ENVASE PET OVAL C/SILUETA TRANSP 100 ML;1000;1000;ST;46863,00;3113081,19;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003116;ENVASE PET OVAL C/SILUETA TRANSP 100 ML;1000;2000;ST;8728,00;579795,84;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
11003117;ENVASE PET OVAL C/SILUETA BLANCO 100 ML;1000;1000;ST;1267,00;27001,79;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003118;ETIQ FRONTAL/DORSAL CHICCO COLONIA 100ML;1000;1000;ST;200295,00;1853115,60;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003119;TAPA LISA FLIP TOP BLANCA C- 20;1000;1000;ST;69982,00;747314,93;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003119;TAPA LISA FLIP TOP BLANCA C- 20;1000;1007;ST;0,00;0,00;55000,000;587327,05;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1007-Rechazado;1000-Pharsana Valencia
11003119;TAPA LISA FLIP TOP BLANCA C- 20;1000;2000;ST;8894,00;94976,12;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
11003120;ETIQ FRONTAL/DORSAL CHICCO ACEITE  100ML;1000;1000;ST;5000,00;11035,55;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;1000-Materia Prima;1000-Pharsana Valencia
11003120;ETIQ FRONTAL/DORSAL CHICCO ACEITE  100ML;1000;2000;ST;11494,00;25368,52;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:31;ZEMP;2000-Producción;1000-Pharsana Valencia
