Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;TextAlm;TextCent
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1000;3000;CS;0,40;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3000-Prod. Terminado;1000-Pharsana Valencia
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1000;3001;CS;8,90;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3001-Muestras Gemelas;1000-Pharsana Valencia
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1000;3017;CS;1,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3017-MG Microbilogia;1000-Pharsana Valencia
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1001;3000;CS;450,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3000-ProdTerminado WM;1001-Pharsana Maracay
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1001;3002;CS;0,00;0,000;20,400;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3002-PT Reserva;1001-Pharsana Maracay
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1001;3004;CS;2,30;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3004-Devoluciones;1001-Pharsana Maracay
50000964;CHICCO BS CHAMPU CABELLO CLARO(10x200ML);1001;3018;CS;4,10;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Champú;3018-Rechazado;1001-Pharsana Maracay
50000965;CHICCO BS LOCION (10x200ML);1000;3001;CS;9,90;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3001-Muestras Gemelas;1000-Pharsana Valencia
50000965;CHICCO BS LOCION (10x200ML);1000;3017;CS;1,20;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3017-MG Microbilogia;1000-Pharsana Valencia
50000965;CHICCO BS LOCION (10x200ML);1001;3000;CS;89,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3000-ProdTerminado WM;1001-Pharsana Maracay
50000965;CHICCO BS LOCION (10x200ML);1001;3002;CS;1,60;0,000;8,500;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3002-PT Reserva;1001-Pharsana Maracay
50000965;CHICCO BS LOCION (10x200ML);1001;3004;CS;0,50;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3004-Devoluciones;1001-Pharsana Maracay
50000965;CHICCO BS LOCION (10x200ML);1001;3018;CS;2,60;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Loción;3018-Rechazado;1001-Pharsana Maracay
50000968;CHICCO BS JABON LIQUIDO(10x200ML);1000;3001;CS;5,50;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;3001-Muestras Gemelas;1000-Pharsana Valencia
50000968;CHICCO BS JABON LIQUIDO(10x200ML);1001;3002;CS;0,90;0,000;16,200;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;3002-PT Reserva;1001-Pharsana Maracay
50000968;CHICCO BS JABON LIQUIDO(10x200ML);1001;3004;CS;3,40;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;3004-Devoluciones;1001-Pharsana Maracay
50000968;CHICCO BS JABON LIQUIDO(10x200ML);1001;3018;CS;52,40;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Jabón Líquido;3018-Rechazado;1001-Pharsana Maracay
50000969;CHICCO BS TALCO (24x200G);1000;3000;CS;0,00;0,000;1,333;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3000-Prod. Terminado;1000-Pharsana Valencia
50000969;CHICCO BS TALCO (24x200G);1000;3001;CS;11,96;1,458;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3001-Muestras Gemelas;1000-Pharsana Valencia
50000969;CHICCO BS TALCO (24x200G);1000;3017;CS;1,58;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3017-MG Microbilogia;1000-Pharsana Valencia
50000969;CHICCO BS TALCO (24x200G);1001;3000;CS;519,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3000-ProdTerminado WM;1001-Pharsana Maracay
50000969;CHICCO BS TALCO (24x200G);1001;3002;CS;2,96;0,000;8,375;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3002-PT Reserva;1001-Pharsana Maracay
50000969;CHICCO BS TALCO (24x200G);1001;3004;CS;2,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3004-Devoluciones;1001-Pharsana Maracay
50000969;CHICCO BS TALCO (24x200G);1001;3018;CS;0,21;0,000;0,042;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Talco;3018-Rechazado;1001-Pharsana Maracay
50000970;CHICCO BS COLONIA (10x220ML);1000;3000;CS;4,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3000-Prod. Terminado;1000-Pharsana Valencia
50000970;CHICCO BS COLONIA (10x220ML);1000;3001;CS;41,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3001-Muestras Gemelas;1000-Pharsana Valencia
50000970;CHICCO BS COLONIA (10x220ML);1001;3000;CS;3618,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3000-ProdTerminado WM;1001-Pharsana Maracay
50000970;CHICCO BS COLONIA (10x220ML);1001;3002;CS;16,60;0,000;55,800;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3002-PT Reserva;1001-Pharsana Maracay
50000970;CHICCO BS COLONIA (10x220ML);1001;3004;CS;8,30;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3004-Devoluciones;1001-Pharsana Maracay
50000970;CHICCO BS COLONIA (10x220ML);1001;3018;CS;11,10;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Colonia;3018-Rechazado;1001-Pharsana Maracay
50000971;CHICCO BS ACEITE (10x220ML);1000;3001;CS;9,10;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Aceite;3001-Muestras Gemelas;1000-Pharsana Valencia
50000971;CHICCO BS ACEITE (10x220ML);1001;3000;CS;562,00;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Aceite;3000-ProdTerminado WM;1001-Pharsana Maracay
50000971;CHICCO BS ACEITE (10x220ML);1001;3002;CS;1,40;0,000;9,700;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Aceite;3002-PT Reserva;1001-Pharsana Maracay
50000971;CHICCO BS ACEITE (10x220ML);1001;3004;CS;7,30;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Aceite;3004-Devoluciones;1001-Pharsana Maracay
50000971;CHICCO BS ACEITE (10x220ML);1001;3018;CS;20,90;0,000;0,000;20.02.2026 - 22:03:39;HIGIENE PERSONAL;Chicco;PH-Aceite;3018-Rechazado;1001-Pharsana Maracay
50000974;CHICCO BS TH ORIGINAL (24x72UN);1000;3000;CS;1823,00;0,000;1,250;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3000-Prod. Terminado;1000-Pharsana Valencia
50000974;CHICCO BS TH ORIGINAL (24x72UN);1000;3001;CS;27,71;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
50000974;CHICCO BS TH ORIGINAL (24x72UN);1000;3017;CS;1,38;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3017-MG Microbilogia;1000-Pharsana Valencia
50000974;CHICCO BS TH ORIGINAL (24x72UN);1001;3000;CS;1333,00;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3000-ProdTerminado WM;1001-Pharsana Maracay
50000974;CHICCO BS TH ORIGINAL (24x72UN);1001;3002;CS;3,50;0,000;0,167;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3002-PT Reserva;1001-Pharsana Maracay
50000974;CHICCO BS TH ORIGINAL (24x72UN);1001;3004;CS;1,00;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3004-Devoluciones;1001-Pharsana Maracay
50000974;CHICCO BS TH ORIGINAL (24x72UN);1001;3018;CS;1,08;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3018-Rechazado;1001-Pharsana Maracay
50000975;CHICCO BS TH ORIGINAL (20x48UN);1000;3000;CS;2122,00;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3000-Prod. Terminado;1000-Pharsana Valencia
50000975;CHICCO BS TH ORIGINAL (20x48UN);1000;3001;CS;19,00;1,950;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
50000975;CHICCO BS TH ORIGINAL (20x48UN);1000;3017;CS;2,90;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3017-MG Microbilogia;1000-Pharsana Valencia
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3000;CS;1275,00;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3000-ProdTerminado WM;1001-Pharsana Maracay
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3002;CS;5,45;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3002-PT Reserva;1001-Pharsana Maracay
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3003;CS;250,00;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3003-PT Cuarentena;1001-Pharsana Maracay
50000975;CHICCO BS TH ORIGINAL (20x48UN);1001;3018;CS;2,50;0,000;0,050;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3018-Rechazado;1001-Pharsana Maracay
50000976;CHICCO TH ORIGINAL 24UN;1000;3001;CS;3,35;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3001-Muestras Gemelas;1000-Pharsana Valencia
50000976;CHICCO TH ORIGINAL 24UN;1001;3002;CS;7,28;0,000;0,000;20.02.2026 - 22:03:39;TOALLAS HUMEDAS;Chicco;PH-TH Flow Pack;3002-PT Reserva;1001-Pharsana Maracay
