Codigo_Mat;Denominacion Material;Fecha;UM;Cant_Notif;UM2;Cant_Notif2;Sector;Reproceso;Fecha-Hora
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;15.02.2026;PZA;136000,000;TO;3,400;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000197;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);15.02.2026;PZA;210000,000;TO;8,954;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;15.02.2026;PZA;329616,000;TO;12,542;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;18.02.2026;PZA;20160,000;TO;1,049;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;18.02.2026;PZA;68000,000;TO;1,700;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000197;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);18.02.2026;PZA;142800,000;TO;6,089;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;18.02.2026;PZA;251136,000;TO;9,556;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000255;PREFORMAS TRANSPARENTE 17,82GRS;18.02.2026;PZA;102816,000;TO;1,832;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000197;PREFORMAS TRANSPARENTE 42,64 GR(PCO1881);19.02.2026;PZA;92400,000;TO;3,940;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;19.02.2026;PZA;108800,000;TO;2,720;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;19.02.2026;PZA;164808,000;TO;6,272;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000255;PREFORMAS TRANSPARENTE 17,82GRS;19.02.2026;PZA;342720,000;TO;6,107;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;19.02.2026;PZA;76860,000;TO;3,997;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000843;PREFORMAS TRANSP 25,00 GR MAQ GLOBAL IMP;20.02.2026;PZA;68000,000;TO;1,700;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;20.02.2026;PZA;31500,000;TO;1,638;SOPLADO;PLAN;20.02.2026 - 22:01:57
000000000070000252;PREFORMAS TRANSPARENTE 30,86GR (PCO1810);20.02.2026;PZA;29163,000;TO;0,900;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
000000000070000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;20.02.2026;PZA;117720,000;TO;4,479;INY.PREFORMA MAQUILA;PLAN;20.02.2026 - 22:01:57
000000000070000780;PREFORMAS TRANSPARENTE 17,82 G MAQUILA;20.02.2026;PZA;102816,000;TO;1,832;INY. PREFORMA;PLAN;20.02.2026 - 22:01:57
