Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;Categoria;Marca;Grupo;Sector;TextAlm;TextCent
50001024;CHICCO COTONCITO 60 PZA;1001;3000;CS;281,00;189382,01;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Chicco;PH-Hisopos;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001026;BASTONCITO PARA HISOPOS (NACIONAL PH);1000;3000;CS;0,00;0,00;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ALGODONES PT;Pharsana;PH-Hisopos;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001027;FRIENDS PD REGULAR S/P (12X60);1001;3000;PAK;1318,00;283847,93;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;ABSORBENTES FEMENINA;Friends;PH-Protector Diario;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001074;CHICCO KIT CHAMPU ORI LOCION COLONIA 200;1001;3000;CS;3,00;5581,79;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH- Kit Cosmética;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001078;SECUREZZA PANTS XL (8X10);1001;3000;PAK;798,00;849026,69;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Pañal Pull Up;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001079;AMY SEC TH 24P 99% AGUA;1000;3000;CS;0,00;0,00;0,000;0,00;1,979;1142,14;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001079;AMY SEC TH 24P 99% AGUA;1001;3000;CS;11,00;6287,61;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Amy;PH-TH Travel Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001084;CHICCO TH ORIGINAL 24P (TRAVEL);1000;3000;CS;0,00;0,00;0,000;0,00;0,833;588,90;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Travel Pack;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001084;CHICCO TH ORIGINAL 24P (TRAVEL);1001;3000;CS;74,00;43831,61;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;TOALLAS HUMEDAS;Chicco;PH-TH Travel Pack;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001045;CHICCO TALCO 100G;1000;3000;CS;0,00;0,00;0,000;0,00;0,458;581,29;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
50001045;CHICCO TALCO 100G;1001;3000;CS;381,00;448130,52;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Talco;Cuidado Personal;3000-ProdTerminado WM;1001-Pharsana Maracay
50001095;SECUREZZA PANTS M (8X10);1001;3000;PAK;121,00;158133,24;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Pañal Pull Up;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001097;SECUREZZA PANTS L (8X10);1001;3000;PAK;247,00;276914,02;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;INCONTINENCIA;Securezza;PH-Pañal Pull Up;Absorbentes;3000-ProdTerminado WM;1001-Pharsana Maracay
50001100;CHICCO CHAMPU ORIGINAL 400 ML;1000;3000;CS;802,00;724052,99;0,000;0,00;0,000;0,00;27.02.2026 - 12:09:54;ZTEC;HIGIENE PERSONAL;Chicco;PH-Champú;Cuidado Personal;3000-Prod. Terminado;1000-Pharsana Valencia
