Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Calidad;Bloqueado;Hora;Categoría;Marca;Grupo;Sector;TextAlm;TextCent
70000665;ENVASE PET TRANSP FARMA 120 ML (Ecomm);1300;3009;PZA;4797,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000696;TAPA PCO 28MM 1881 NARANJA (3.500) PZAS;1300;3000;CS;1041,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000698;TAPA PCO 28MM 1881 Azul Claro (3.500)PZ;1300;3000;CS;115,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000702;PREFORMAS AZUL 17,82GR MAQ PCO 1810;1300;3000;PZA;229884,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000737;PREFORMAS AZUL 34,00GR MAQ PCO 1810;1300;3000;PZA;10294,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000750;TAPA PCO 1810 Gris 28MM 3,10 G (3500);1300;3000;CS;6,00;0,000;0,000;20.02.2026 - 22:03:45;TAPAS;Tapas S/Impresión;PP-Tap. Long Finish;Tapas PT;3000-ProdTerminado WM;1300-Proyectos PET
70000755;PREF TRANSP 29,64 MAQ SOFT DRI CZ-328;1300;3000;PZA;18279,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;1300;2000;PZA;125568,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000762;PREF TRANSP 38,05 MAQ SOFT DRI CR-8828;1300;3000;PZA;419224,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000768;PREF 42,64GR MAQ 1881 JADE 328-A SOFT DR;1300;3000;PZA;38760,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000772;PREFORMAS 42,64GR CR 8828 MAQ SOFT DRI;1300;3000;PZA;44035,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;1300;2000;PAL;17,00;25,000;15,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Carbonatada;PP-Botella;Botellas;2000-Producción;1300-Proyectos PET
70000776;BOTELLAS  AMBAR  1,5L MALTIN POLAR 52Gr;1300;3000;PAL;33,00;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Carbonatada;PP-Botella;Botellas;3000-ProdTerminado WM;1300-Proyectos PET
70000778;PREFORMAS 30,86GR TRANSPARENTE MAQUILA;1300;3000;PZA;46788,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000780;PREFORMAS TRANSPARENTE 17,82 G MAQUILA;1300;2000;PZA;102816,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;2000-Producción;1300-Proyectos PET
70000797;ENVASE PET TRANSP FARMA  60 ML ECOMM;1300;3009;PZA;1092,00;0,000;0,000;20.02.2026 - 22:03:45;ENVASES PT;Farma S/Impresión;AM-Farma;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
70000798;PREF VERDE 20,79 MAQ SOFT DRI CR8828;1300;3000;PZA;34272,00;0,000;0,000;20.02.2026 - 22:03:45;PREFORMAS;Long Finish;PP-Preforma;Preformas;3000-ProdTerminado WM;1300-Proyectos PET
70000802;BOT CARBONATADA  500ML 17,82G 48 Und Eco;1300;3009;PAL;0,71;0,000;0,000;20.02.2026 - 22:03:45;BOTELLAS GASEOSAS;Licores;PP-Botella;Inyecto Soplado;3009-E-Commerce;1300-Proyectos PET
