Codigo_Mat;Denominacion Material;Centro;Almacen;C-B;LibreUt;Valor_Lut;Calidad;Valor_Cal;Bloqueado;Valor_Blo;Hora;TpMt;TextAlm;TextCent
11002744;PREFORMA 17,82 GRS AMPOFRASCA;1200;2000;PZA;27597,00;273694,39;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002745;PREFORMA 23,00 GRS AMPOFRASCA;1200;1000;PZA;39651,00;425058,72;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002745;PREFORMA 23,00 GRS AMPOFRASCA;1200;2000;PZA;34722,00;372219,84;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002746;PREFORMA 25,00 GRS AMPOFRASCA;1200;1000;PZA;32160,00;48045,65;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002746;PREFORMA 25,00 GRS AMPOFRASCA;1200;2000;PZA;8049,00;12024,86;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002747;PREFORMA 39,31 GRS AMPOFRASCA;1200;1000;PZA;17136,00;12700,33;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002748;PREFORMA 34,00 GRS AMPOFRASCA;1200;1000;PZA;18646,00;112145,46;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002751;PREFORMA 56,00 GRS AMPOFRASCA;1200;2000;PZA;2948,00;41232,51;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002753;PREFORMA 27,90 GRS AMPOFRASCA;1200;2000;PZA;9301,00;120913,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002814;MASTERBATCH MARRON PERLADO SM1452;1200;1000;KG;34,64;19937,32;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002841;MASTERBATCH NEGRO DM-PB-0014 DERPLAST;1200;1000;KG;22,31;391,07;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002842;MASTERBATCH MORADO DMPB-5588;1200;1000;KG;70,05;36435,11;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002882;POLIPROPILENO J-500 (INYECCION LIVIANA);1200;1007;KG;25,00;0,00;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1007-Rechazado;1200-Ampofrasca
11002884;POLIPROPILENO 12R88A (PROPILCO) IMP;1200;1000;KG;2025,00;2065107,40;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002884;POLIPROPILENO 12R88A (PROPILCO) IMP;1200;2000;KG;13,07;13328,87;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002885;BANDEJA DE CARTON 647x535x147;1200;1000;PZA;4434,00;44294,38;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11002885;BANDEJA DE CARTON 647x535x147;1200;1007;PZA;500,00;4994,86;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1007-Rechazado;1200-Ampofrasca
11002885;BANDEJA DE CARTON 647x535x147;1200;2000;PZA;531,00;5304,54;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2000-Producción;1200-Ampofrasca
11002890;TAPA PCO 28MM 1810 BLANCA AMPOFRASCA;1200;1000;PZA;2176,00;1561,50;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;1000-Materia Prima;1200-Ampofrasca
11002893;BANDAS DE GOMAS (LIGAS) 3"x 1/16"x 1/32";1200;1000;PZA;3150,00;2415,94;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002893;BANDAS DE GOMAS (LIGAS) 3"x 1/16"x 1/32";1200;2000;PZA;9391,00;7202,58;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002895;RESINA PET RAMAPET INDORAMA R1;1200;1000;KG;138000,00;42391740,62;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002895;RESINA PET RAMAPET INDORAMA R1;1200;2000;KG;3919,43;1203995,17;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002898;MASTERBATCH MORADO SM 2042 SC;1200;1000;KG;82,90;40288,89;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002931;MASTERBATCH VERDE FVE 1024 M&M;1200;1000;KG;40,80;2203,37;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002942;MASTERBATCH AMARILLO SM-1291 SC;1200;1000;KG;183,69;139106,50;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002951;COLORANTE LIQUID AMBAR CC10362488;1200;1000;KG;120,00;463765,09;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;1000-Materia Prima;1200-Ampofrasca
11002951;COLORANTE LIQUID AMBAR CC10362488;1200;2000;KG;73,09;282487,04;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZMAP;2000-Producción;1200-Ampofrasca
11002997;PALETA DE MADERA 141cm x 111cm x 14cm(M);1200;2003;PZA;128,00;70904,60;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2003-Semiterminados;1200-Ampofrasca
11002998;MARCO DE MADERA 141cm x 111cm x 9 cm(M);1200;2003;PZA;162,00;21979,59;0,000;0,00;0,000;0,00;20.02.2026 - 22:03:35;ZEMP;2003-Semiterminados;1200-Ampofrasca
